name,address,subway_distance,call,price,url,note,visitor_review,blog_review,area,subway,star,orginized_price
토즈 선릉점,서울 강남구 테헤란로70길 14-8 세왕개발빌딩 9층,선릉역 1번출구에서 437m,02-2052-0113,"1~2인 (기본2시간)15,000원프리미엄 2인 (기본2시간)20,000원3~4인 (기본2시간)25,000원5~6인 (기본2시간)50,000원7~8인 (기본2시간)70,000원프리미엄 9인 (기본2시간)80,000원프리미엄 10~12인 (기본2시간)100,000원20~26인 부스변동20~32인 부스변동",https://blog.naver.com/tozsl,"예약, 단체 이용 가능, 무선 인터넷, 남/녀 화장실 구분, 주차",방문자 리뷰 612,블로그 리뷰 153,강남구,선릉역,별점 4.67,"1~2인 - 1시간 7,500원, 3~4인 - 1시간 12,500원, 5~6인 - 1시간 25,000원, 7~8인 - 1시간 35,000원, 프리미엄 2인 - 1시간 10,000원, 프리미엄 9인 - 1시간 40,000원, 프리미엄 10~12인 - 1시간 50"
라곰스터디카페 대치점,서울 강남구 역삼로 444 지하1층,한티역 2번출구에서 772m,0507-1417-0883,"친구소개100시간충전시 각20시간증정무료네이버 리뷰 작성시 1시간 증정무료카카오채널 친구 추가시 1시간 증정무료1시간2,500원10%할인 겨울방학이벤트 100시간99,000원12%할인 충전권 (5시간)11,000원32%할인 충전권 (10시간)17,000원36%할인 충전권 (20시간)32,000원40%할인 충전권 (30시간)45,000원48%할인 충전권 (50시간)65,000원",https://www.gosca.co.kr,"무선 인터넷, 남/녀 화장실 구분, 단체 이용 가능, 예약",방문자 리뷰 10,블로그 리뷰 51,강남구,한티역,,"1시간 2,500원"
지혜림 스터디룸 대치센터,서울 강남구 삼성로67길 53,한티역 2번출구에서 531m,0507-1344-2575,"파인 (2인룸:최대3인) 시간당4,000원오크 (2인룸:최대3인) 시간당4,000원메이플 (2인룸:최대3인) 시간당4,000원자작나무숲 (4,5인룸) 시간당8,000원편백나무숲 (4,5인룸) 시간당8,000원",http://devpay.co.kr/room_reservation/0295/reserve.php,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 8,블로그 리뷰 14,강남구,한티역,,"2인 - 1시간 4,000원, 4인실 - 1시간 8,000원"
룸룸 스터디룸 역삼개나리점,서울 강남구 역삼로 306 개나리래미안 상가동 3층 301호,선릉역 3번출구에서 738m,0507-1445-3484,가격정보 없음,https://blog.naver.com/roomroomstudy?tab=1,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 간편결제",방문자 리뷰 2,,강남구,선릉역,,가격정보 없음
롤리폴리스터디룸,서울 강남구 역삼로 452,선릉역 1번출구에서 930m,번호정보 없음,가격정보 없음,URL정보 없음,비고 없음,,,강남구,선릉역,,가격정보 없음
한티아이비 스터디룸,서울 강남구 도곡로63길 24 지하1층,한티역 2번출구에서 257m,번호정보 없음,"마주 앉는 2인실(시간당)8,000원나란히 앉는 2인실(시간당)8,000원3인실(시간당)11,000원4인실(시간당)12,000원",https://blog.naver.com/ivystudyroom12,"무선 인터넷, 남/녀 화장실 구분, 예약, 대기공간",방문자 리뷰 47,블로그 리뷰 5,강남구,한티역,,"2인실 - 1시간 8,000원, 3인실 - 1시간 11,000원, 4인실 - 1시간 12,000원"
헤이븐스터디룸 대치,서울 강남구 삼성로 331 지하 1층,대치역 2번출구에서 885m,0507-1393-1568,가격정보 없음,https://www.gosca.co.kr,"예약, 무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분, 간편결제, 주차",방문자 리뷰 1,블로그 리뷰 5,강남구,대치역,,가격정보 없음
시그니처스터디룸,서울 강남구 삼성로61길 20 지하1층,한티역 2번출구에서 583m,0507-1386-6627,가격정보 없음,URL정보 없음,"무선 인터넷, 남/녀 화장실 구분, 대기공간, 예약",,,강남구,한티역,,가격정보 없음
토즈 대치1센터,서울 강남구 도곡로83길 8 성창빌딩 3-5층,대치역 3번출구에서 803m,02-539-0008,가격정보 없음,https://hellenk88.modoo.at,"예약, 주차, 무선 인터넷, 남/녀 화장실 구분",방문자 리뷰 19,블로그 리뷰 8,강남구,대치역,별점 3.94,가격정보 없음
스카이캐슬 스터디카페 1호점,"서울 강남구 역삼로63길 5 지하1층, 지상1층 스카이캐슬 스터디카페 1호점",선릉역 1번출구에서 473m,0507-1409-3225,"당일 시간권 1시간 (1일)사용기간3,000원당일 시간권 2시간 (1일)사용기간5,000원당일 시간권 3시간 (1일)사용기간6,000원당일 시간권 1시간 (4일)사용기간8,000원당일 시간권 5시간 (1일)사용기간10,000원당일 시간권 6시간 (1일)사용기간12,000원당일 시간권 7시간 (1일)사용기간14,000원당일 시간권 8시간 (1일)사용기간16,000원당일 시간권 10시간 (1일)사용기간19,000원충전권 10시간(365일)사용기간20,000원",https://blog.naver.com/skycastle_studycafe_,"남/녀 화장실 구분, 무선 인터넷, 단체 이용 가능, 예약, 간편결제, 주차",방문자 리뷰 214,블로그 리뷰 10,강남구,선릉역,별점 4.46,가격정보 없음
