subway_station,address,latitude,longitude
선릉역,서울 강남구 테헤란로 340,37.5044746,127.0489508
한티역,서울 강남구 선릉로 228,37.51369967066034,127.04261751293137
대치역,서울 강남구 남부순환로 2952,37.49277692651002,127.05931297779463
역삼역,서울 강남구 테헤란로 156,37.5008221,127.03696
이대역,서울 마포구 신촌로 180,37.5567733,126.9458346
공덕역,서울 마포구 마포대로 100,37.54612926454843,126.95259261883653
애오개역,서울 마포구 마포대로 210,37.54612926454843,126.95259261883653
대흥역,서울 마포구 대흥로 85,37.544422304117305,126.93879212918785
서대문역,서울 서대문구 통일로 126,37.57796422752824,126.95468510239498
신촌역,서울 서대문구 신촌로 90,37.557766814853856,126.9306204961527
종각역,서울 종로구 종로 55,37.5701745,126.9831831
광화문역,서울 종로구 세종대로 172,37.5716162,126.9769026
종로3가역,서울 종로구 돈화문로11길 26,37.5726904,126.9899836
시청역,서울 중구 세종대로 101,37.5647767,126.9771453
경복궁역,서울 종로구 사직로 130,37.5757924,126.973629
노량진역,서울 동작구 노량진로 151,37.5142381,126.94204
노들역,서울 동작구 노량진로 238,37.51325925144537,126.92866180604582
샛강역,서울 영등포구 의사당대로 166,37.526685783914076,126.9192206516879
대방역,서울 영등포구 여의대방로 300,37.5125156,126.9250675
장승배기역,서울 동작구 상도로 188,37.50289533279207,126.94793768321229
송파역,서울 송파구 송파대로 354,37.50946559063697,127.10320654097134
석촌역,서울 송파구 송파대로 439,37.513580992975925,127.09963941237515
송파나루역,서울 송파구 송파동 3,37.50431039706891,127.10818224938721
방이역,서울 송파구 양재대로 1127,37.51889879464315,127.13275421398848
석촌고분역,서울 송파구 석촌동 157,37.5024827,127.103495
경찰병원역,서울 송파구 중대로 149,37.50388897172248,127.12996290047397
문정역,서울 송파구 송파대로 179,37.513580992975925,127.09963941237515
숙대입구역,서울 용산구 한강대로 306,37.5454448,126.9722479
효창공원앞역,서울 용산구 백범로 287,37.54005742987813,126.95963814138686
이촌역,서울 용산구 서빙고로 83,37.52633555801359,126.96517528021504
당산역,서울 영등포구 당산로 229,37.5345964,126.902478
선유도역,서울 영등포구 양평로 124,37.53880649098816,126.89204861233381
영등포시장역,서울 영등포구 양산로 200,37.5210838,126.9067159
문래역,서울 영등포구 당산로 28,37.5183839,126.8948726
양평역,서울 영등포구 양산로 21,37.525266286901406,126.88846496454475
합정역,서울 마포구 양화로 55,37.5493558,126.9136561
신목동역,서울 양천구 목동중앙로 217,37.544227,126.8831853
신림역,서울 관악구 남부순환로 1614,37.4848342,126.9295309
봉천역,서울 관악구 남부순환로 1721,37.4823889,126.9419387
당곡역,서울시 관악구 봉천동 985,37.484665,126.9484961
서울대벤처타운역,서울시 관악구 신림동 110-10,37.48682825,126.92826657522511
서원역,서울시 관악구 신림동 808-407,37.4840,126.9290
신대방삼거리역,서울 동작구 상도로 76,37.5040105,126.9376211
보라매공원역,서울시 동작구 신대방동 722,37.4955756,126.9195788
신풍역,서울 영등포구 신풍로 27,37.500025,126.9148058
상도역,서울 동작구 상도로 272,37.5020322,126.9344112
강변역,서울 광진구 강변역로 53,37.5351109,127.0947415
아차산역,서울 광진구 천호대로 657,37.5547004,127.085495
구의역,서울 광진구 아차산로 384-1,37.5402688,127.0698248
건대입구역,서울 광진구 아차산로 243,37.5403626,127.069384
어린이대공원역,서울 광진구 능동로 210,37.5475998,127.0743915
자양역,서울 광진구 능동로 10,37.5463516,127.0737171
뚝섬역,서울 성동구 아차산로 18,37.54723545,127.04739787885683
한양대역,서울 성동구 왕십리로 206,37.5557271,127.0436642
왕십리역,서울 성동구 왕십리로 300,37.5634923,127.0307025
홍대입구역,서울 마포구 양화로 160,37.5582622,126.9256952
상수역,서울 마포구 독막로 85,37.547922650000004,126.92274886505426
군자역,서울 광진구 천호대로 550,37.5547004,127.085495
청담역,서울 강남구 학동로 508,37.5199698,127.056947
행당역,서울 성동구 행당로 89,37.5552783,127.0221256
압구정역,서울 강남구 압구정로 172,37.5290677,127.0353904
혜화역,서울 종로구 대학로 120,37.5821381,127.0019525
성신여대입구역,서울 성북구 동소문로 102,37.602941599999994,127.02360638811476
한성대입구역,서울 성북구 삼선교로 1,37.587812,127.008752
동대문역사문화공원역,서울 중구 을지로 279,37.5659047,127.0081762
약수역,서울 중구 다산로 122,37.567665,127.0160853
영등포역,서울 영등포구 경인로 846,37.5152129,126.9059999
신길역,서울 영등포구 영등포로 327,37.5166485,126.9187443
